title,link,category,id,duration,Tags
homemade drinks15,https://www.douyin.com/video/7379970233571872054,homemade_drinks,7379970233571872054,25,"tea, mixology"
homemade drinks16,https://www.douyin.com/video/7202545894183406905,homemade_drinks,7202545894183406905,31,"mixology, ice drink"
homemade drinks17,https://www.douyin.com/video/6927105860724428039,homemade_drinks,6927105860724428039,13,mixology
homemade drinks18,https://www.douyin.com/video/6988843997183675648,homemade_drinks,6988843997183675648,17,"fruit drink, beer, DIY"
homemade drinks19,https://www.douyin.com/video/7229999501224725799,homemade_drinks,7229999501224725799,19,"mixology, ice drink"
homemade drinks20,https://www.douyin.com/video/7257128385833372980,homemade_drinks,7257128385833372980,30,"milk tea, fruit Tea, ice drink"
kids1,https://www.douyin.com/video/7408405918045457702,kids,7408405918045457702,16,"cute baby, LovelyMoments"
kids2,https://www.douyin.com/video/7218131858083695924,kids,7218131858083695924,34,"cute baby, LovelyMoments"
kids3,https://www.douyin.com/video/7385006386280762674,kids,7385006386280762674,11,"cute baby, funny kids"
kids4,https://www.douyin.com/video/7011441329070820608,kids,7011441329070820608,18,"Kiddaily, familyLife"
kids5,https://www.douyin.com/video/7413685743194819881,kids,7413685743194819881,13,funny kids
kids6,https://www.douyin.com/video/7022487292816133414,kids,7022487292816133414,16,"cute baby, funny kids"
kids7,https://www.douyin.com/video/7116066033676455204,kids,7116066033676455204,14,"cute baby, kindergarten"
kids8,https://www.douyin.com/video/7278518783998823741,kids,7278518783998823741,18,"cute baby, kindergarten"
kids9,https://www.douyin.com/video/7140546914277166367,kids,7140546914277166367,42,funny kids
kids10,https://www.douyin.com/video/7399490925484854528,kids,7399490925484854528,26,"Kiddaily, confusing behavior"
kids11,https://www.douyin.com/video/6834780426419129600,kids,6834780426419129600,14,funny kids
kids12,https://www.douyin.com/video/7083809333611334920,kids,7083809333611334920,13,"funny kids, confusing behavior"
kids13,https://www.douyin.com/video/7224825764884073760,kids,7224825764884073760,18,cute baby
kids14,https://www.douyin.com/video/7304506053994056970,kids,7304506053994056970,30,Kiddaily
kids15,https://www.douyin.com/video/7418500511223008575,kids,7418500511223008575,31,Kiddaily
kids16,https://www.douyin.com/video/7211454351821327668,kids,7211454351821327668,32,"funny kids, children's words"
kids17,https://www.douyin.com/video/7402810859942104330,kids,7402810859942104330,55,"funny kids, children's words"
kids18,https://www.douyin.com/video/7417094351815314727,kids,7417094351815314727,22,"primary school, student"
kids19,https://www.douyin.com/video/7263778790990417167,kids,7263778790990417167,30,"funny kids, confusing behavior"
kids20,https://www.douyin.com/video/7389949244498611519,kids,7389949244498611519,26,"funny kids, confusing behavior"
livehouse1,https://www.douyin.com/video/7405568468503874866,livehouse,7405568468503874866,31,"Japan, Meiria"
livehouse2,https://www.douyin.com/video/7391509025885588770,livehouse,7391509025885588770,39,"concert, chorus"
livehouse3,https://www.douyin.com/video/7456121978211142924,livehouse,7456121978211142924,21,"livemusic, band, WesternPop"
livehouse4,https://www.douyin.com/video/6978402424302226725,livehouse,6978402424302226725,32,"graduation, songcover"
livehouse5,https://www.douyin.com/video/7394487711182146816,livehouse,7394487711182146816,18,concert
livehouse6,https://www.douyin.com/video/7399587112149896474,livehouse,7399587112149896474,18,"concert, chorus"
livehouse7,https://www.douyin.com/video/7379953936775548195,livehouse,7379953936775548195,48,"WesternPop, Selenagomez"
livehouse8,https://www.douyin.com/video/7211927148267834661,livehouse,7211927148267834661,17,"livemusic, band"
livehouse9,https://www.douyin.com/video/7048862856409861407,livehouse,7048862856409861407,16,"livemusic, chorus"
livehouse10,https://www.douyin.com/video/7336690626827783458,livehouse,7336690626827783458,45,"livemusic, band, bass"
livehouse11,https://www.douyin.com/video/7279034877482159401,livehouse,7279034877482159401,11,"WesternPop, Tylorswift"
livehouse12,https://www.douyin.com/video/7397298314946923811,livehouse,7397298314946923811,23,"concert, livemusic, Classic song"
livehouse13,https://www.douyin.com/video/7409838571630234930,livehouse,7409838571630234930,23,"WesternPop, beautiful tone"
livehouse14,https://www.douyin.com/video/7402979130649611583,livehouse,7402979130649611583,27,"Korean, Blackpink"
livehouse15,https://www.douyin.com/video/7110521586762943757,livehouse,7110521586762943757,36,"graduation, songcover"
livehouse16,https://www.douyin.com/video/7397580174637747494,livehouse,7397580174637747494,27,"WesternPop, LiveShow"
livehouse17,https://www.douyin.com/video/7156541317064051983,livehouse,7156541317064051983,47,"concert, LiveShow, Korean, Blackpink"
livehouse18,https://www.douyin.com/video/7296771631198866738,livehouse,7296771631198866738,37,"concert, LiveShow, Classic song"
livehouse19,https://www.douyin.com/video/7369803422654139682,livehouse,7369803422654139682,25,"beautiful tone, songcover"
livehouse20,https://www.douyin.com/video/7383187918883425587,livehouse,7383187918883425587,33,"concert, LiveShow, Classic song"
makeup1,https://www.douyin.com/video/7400706665458273545,makeup,7400706665458273545,52,"makeup tips, foundation makeup"
makeup2,https://www.douyin.com/video/7418128072345390345,makeup,7418128072345390345,57,"makeup tips, beginner's tutorial"
makeup3,https://www.douyin.com/video/7342447611456015679,makeup,7342447611456015679,32,makeup tips
makeup4,https://www.douyin.com/video/7348775669909835035,makeup,7348775669909835035,14,celebrity makeup
makeup5,https://www.douyin.com/video/7383280106497707298,makeup,7383280106497707298,13,celebrity makeup
makeup6,https://www.douyin.com/video/7277104933764173114,makeup,7277104933764173114,36,"celebrity makeup, look sharing"
makeup7,https://www.douyin.com/video/7255233545218641193,makeup,7255233545218641193,19,look transformation
makeup8,https://www.douyin.com/video/7418137613304990988,makeup,7418137613304990988,10,"imitated makeup, cosplay"
makeup9,https://www.douyin.com/video/7368461052540898586,makeup,7368461052540898586,31,"crossdressing, Chinese tradition"
makeup10,https://www.douyin.com/video/7372137724435795241,makeup,7372137724435795241,29,"crossdressing, Chinese tradition"
makeup11,https://www.douyin.com/video/7401819553547701542,makeup,7401819553547701542,57,"crossdressing, Olympic"
makeup12,https://www.douyin.com/video/7341595456809569574,makeup,7341595456809569574,30,beginner's tutorial
